216.58.208.110,books.google.nl
2.16.6.14,parool.nl
2.16.6.27,parool.nl
185.38.232.132,tno.nl
20.50.2.49,rijksmuseum.nl
35.204.150.5,holisticflow.nl
159.46.204.131,autoriteitpersoonsgegevens.nl
178.22.85.10,government.nl
178.22.85.8,government.nl
178.22.85.9,government.nl
178.22.85.11,government.nl
45.82.191.205,architectuur.nl
13.81.126.189,omropfryslan.nl
2.16.6.5,rabobank.nl
2.16.6.30,rabobank.nl
46.17.24.110,amsterdam.nl
35.204.150.5,geraldtempelman.nl
5.255.103.93,nlnet.nl
37.97.254.1,transip.nl
18.239.50.64,coolblue.nl
18.239.50.47,coolblue.nl
18.239.50.101,coolblue.nl
18.239.50.45,coolblue.nl
2.16.6.16,nu.nl
2.16.6.10,nu.nl
94.228.136.150,utrecht.nl
2.16.6.34,ah.nl
2.16.6.21,ah.nl
130.89.12.12,utwente.nl
131.180.123.142,repository.tudelft.nl
192.16.191.43,cwi.nl
130.161.128.82,tudelft.nl
131.155.10.135,tue.nl
2.16.6.5,denhaag.nl
142.251.36.36,scholar.google.nl
78.31.115.169,augeo.nl
132.229.29.70,universiteitleiden.nl
40.118.80.223,cbs.nl
130.37.164.155,cs.vu.nl
146.50.97.212,staff.science.uva.nl
137.224.9.30,wur.nl
145.100.190.243,surf.nl
192.87.108.15,surf.nl
188.64.138.5,paperdork.nl
185.173.20.58,historischnieuwsblad.nl
185.223.163.149,encyclo.nl
192.16.191.44,homepages.cwi.nl
93.119.12.23,volleybal.nl
145.58.30.3,npo3fm.nl
195.169.26.52,gahetna.nl
137.120.6.130,maastrichtuniversity.nl
185.173.20.82,filmfestival.nl
132.229.92.59,openaccess.leidenuniv.nl
87.233.203.156,emerce.nl
57.153.150.150,mauritshuis.nl
145.88.218.205,lumc.nl
46.22.183.139,nrc.nl
13.227.219.120,nmm.nl
13.227.219.43,nmm.nl
13.227.219.70,nmm.nl
13.227.219.114,nmm.nl
144.43.243.208,digid.nl
20.4.98.7,rtlnieuws.nl
145.1.115.85,nioz.nl
45.82.188.87,arcella.nl
142.250.179.206,maps.google.nl
145.58.30.3,nporadio1.nl
136.144.212.75,keraweb.nl
87.233.245.153,computable.nl
85.10.155.48,cyberwire.nl
147.181.13.83,zoek.officielebekendmakingen.nl
136.144.176.44,fon.hum.uva.nl
82.201.39.186,kvk.nl
192.104.140.229,cpb.nl
213.108.104.103,mennoluitjes.nl
95.211.27.56,autozine.nl
145.58.30.3,npostart.nl
152.89.6.138,voedingscentrum.nl
20.105.232.7,roompot.nl
132.229.92.58,math.leidenuniv.nl
213.193.247.32,wandelnet.nl
62.112.247.3,politie.nl
2.16.6.26,destentor.nl
2.16.6.15,destentor.nl
212.72.229.196,home.hccnet.nl
18.239.83.6,stedelijk.nl
18.239.83.123,stedelijk.nl
18.239.83.10,stedelijk.nl
18.239.83.113,stedelijk.nl
192.87.79.51,mpi.nl
131.211.19.84,dspace.library.uu.nl
2.16.6.32,rechtspraak.nl
2.16.6.20,rechtspraak.nl
80.65.96.118,de-eerstelijns.nl
145.77.103.19,kadaster.nl
51.105.219.88,pbl.nl
146.50.97.213,illc.uva.nl
130.89.3.23,essay.utwente.nl
185.206.232.38,mastodon.nl
145.5.1.13,eur.nl
85.187.142.69,adviesenzo.nl
185.37.71.30,vphuisartsen.nl
152.53.105.165,weerlive.nl
145.117.213.17,vumc.nl
178.22.85.67,nvwa.nl
178.22.85.65,nvwa.nl
178.22.85.68,nvwa.nl
178.22.85.66,nvwa.nl
85.10.159.9,michielvaneerd.nl
93.92.102.26,tweedekamer.nl
95.170.74.55,zodan.nl
18.239.83.113,beslist.nl
18.239.83.26,beslist.nl
18.239.83.112,beslist.nl
18.239.83.62,beslist.nl
145.220.21.40,ftp.nluug.nl
20.23.2.223,onlinebibliotheek.nl
65.9.86.32,smulweb.nl
65.9.86.86,smulweb.nl
65.9.86.125,smulweb.nl
65.9.86.27,smulweb.nl
145.18.150.58,dare.uva.nl
195.144.10.140,tvgids.nl
85.10.142.20,sofokles.nl
178.22.85.191,ncsc.nl
178.22.85.193,ncsc.nl
178.22.85.192,ncsc.nl
178.22.85.194,ncsc.nl
159.46.204.52,uitspraken.rechtspraak.nl
37.97.172.31,ivir.nl
185.173.20.58,filosofie.nl
145.5.2.24,repub.eur.nl
87.213.43.243,statline.cbs.nl
145.77.103.219,pdok.nl
178.22.62.73,sprout.nl
83.172.129.15,db.basketball.nl
167.71.5.169,letterenfonds.nl
2.16.6.24,abnamro.nl
2.16.6.28,abnamro.nl
62.221.205.41,rutgerbakt.nl
130.89.1.180,wwwhome.cs.utwente.nl
145.18.11.151,hva.nl
2.16.6.13,bndestem.nl
2.16.6.15,bndestem.nl
145.136.253.22,waarneming.nl
20.31.127.131,rijkswaterstaat.nl
87.213.43.244,opendata.cbs.nl
194.171.144.110,dans.knaw.nl
194.171.144.106,narcis.nl
2.16.6.10,gelderlander.nl
2.16.6.16,gelderlander.nl
131.174.154.118,radboudumc.nl
141.138.136.146,burobjorn.nl
195.169.88.80,iisg.nl
149.210.216.123,kenney.nl
185.37.124.48,drentsmuseum.nl
213.75.8.43,home.planet.nl
194.69.28.138,kerkomroep.nl
20.4.98.7,buienradar.nl
185.135.241.13,jhaand.nl
130.89.252.78,eprints.eemcs.utwente.nl
131.180.169.22,data.4tu.nl
20.71.20.56,afm.nl
2.16.6.29,vtwonen.nl
2.16.6.28,vtwonen.nl
20.105.216.39,artis.nl
213.206.248.215,reclamecode.nl
178.22.85.167,cultureelerfgoed.nl
178.22.85.166,cultureelerfgoed.nl
178.22.85.169,cultureelerfgoed.nl
178.22.85.168,cultureelerfgoed.nl
137.224.9.30,wageningenur.nl
2.16.6.5,persgroep.nl
2.16.6.22,persgroep.nl
37.97.132.89,icct.nl
137.224.11.134,edepot.wur.nl
83.96.241.230,verspreidingsatlas.nl
13.69.68.44,link2ticket.nl
145.74.103.94,han.nl
93.92.103.66,acm.nl
213.156.1.43,groenlinks.nl
81.4.87.168,hersenstichting.nl
132.229.92.45,leidenuniv.nl
93.119.12.159,rijnmond.nl
87.237.96.26,eerstekamer.nl
5.200.19.60,kunsthal.nl
85.10.159.28,v2.nl
20.56.240.229,odido.nl
137.224.11.134,library.wur.nl
2.16.6.7,postnl.nl
2.16.6.23,postnl.nl
2.16.6.21,tubantia.nl
2.16.6.16,tubantia.nl
185.71.62.154,nijmegen.nl
85.10.128.132,omroepgelderland.nl
87.233.198.116,brandweer.nl
193.37.205.26,peacepalacelibrary.nl
93.119.0.200,monumentenregister.cultureelerfgoed.nl
132.229.29.84,scholarlypublications.universiteitleiden.nl
2.16.6.8,pzc.nl
2.16.6.5,pzc.nl
146.50.97.211,ivi.fnwi.uva.nl
31.134.203.159,knvb.nl
95.215.185.243,groene.nl
83.137.145.144,krijnhoetmer.nl
145.58.30.3,nporadio4.nl
62.221.214.119,rodekruis.nl
185.133.88.146,phpconference.nl
185.113.196.231,operaballet.nl
217.114.110.226,partyflock.nl
192.16.191.44,event.cwi.nl
18.239.83.89,jeugdjournaal.nl
18.239.83.94,jeugdjournaal.nl
18.239.83.85,jeugdjournaal.nl
18.239.83.58,jeugdjournaal.nl
136.144.186.95,lorentzcenter.nl
37.97.194.173,iias.nl
94.228.129.194,rsm.nl
217.170.16.167,newscientist.nl
178.22.85.148,kiesraad.nl
178.22.85.147,kiesraad.nl
178.22.85.146,kiesraad.nl
178.22.85.149,kiesraad.nl
185.183.202.50,swov.nl
18.239.18.56,albelli.nl
18.239.18.51,albelli.nl
18.239.18.122,albelli.nl
18.239.18.108,albelli.nl
185.40.59.240,bumastemra.nl
131.155.10.110,alexandria.tue.nl
18.239.36.32,zalando.nl
18.239.36.48,zalando.nl
18.239.36.46,zalando.nl
18.239.36.62,zalando.nl
149.210.142.219,marijnhaverbeke.nl
178.22.85.192,om.nl
178.22.85.191,om.nl
178.22.85.193,om.nl
178.22.85.194,om.nl
178.22.57.108,deltares.nl
35.214.148.14,dtls.nl
176.117.57.183,business.gov.nl
145.58.30.3,zapp.nl
213.75.8.43,home.kpn.nl
131.211.31.155,webspace.science.uu.nl
195.169.88.94,resources.huygens.knaw.nl
195.93.224.192,beeldbank.nationaalarchief.nl
89.149.192.26,natuurtijdschriften.nl
108.156.60.77,kijk.nl
108.156.60.64,kijk.nl
108.156.60.99,kijk.nl
108.156.60.4,kijk.nl
149.210.156.215,mastersofmedia.hum.uva.nl
159.46.204.177,deeplink.rechtspraak.nl
145.58.30.3,omroepwest.nl
212.159.213.14,svb.nl
85.10.159.162,omoda.nl
85.10.135.215,onzetaal.nl
81.4.87.238,bijbelgenootschap.nl
178.22.85.68,koninklijkhuis.nl
178.22.85.67,koninklijkhuis.nl
178.22.85.65,koninklijkhuis.nl
178.22.85.66,koninklijkhuis.nl
18.239.94.26,wakkerdier.nl
18.239.94.83,wakkerdier.nl
18.239.94.82,wakkerdier.nl
18.239.94.86,wakkerdier.nl
13.69.68.43,erasmusmc.nl
217.26.113.66,ncdd.nl
145.58.30.3,nporadio2.nl
2.16.6.9,deondernemer.nl
2.16.6.35,deondernemer.nl
93.119.12.159,omroepzeeland.nl
62.221.213.133,swzmaritime.nl
87.233.198.7,rkd.nl
132.229.92.45,let.leidenuniv.nl
131.180.123.142,resolver.tudelft.nl
185.38.232.224,raadvanstate.nl
145.84.24.128,uwv.nl
89.41.171.107,hebban.nl
81.4.84.46,3voor12.vpro.nl
195.72.120.27,noord-holland.nl
37.97.161.25,neurodiversiteit.nl
20.23.2.223,bibliotheekutrecht.nl
2.16.6.26,ed.nl
2.16.6.20,ed.nl
193.37.205.74,nivel.nl
35.214.241.203,bladmineerders.nl
195.169.88.31,meertens.knaw.nl
83.172.189.183,httpmarketing.nl
13.227.219.38,hartvannederland.nl
13.227.219.60,hartvannederland.nl
13.227.219.93,hartvannederland.nl
13.227.219.107,hartvannederland.nl
185.108.115.252,parkstadveendam.nl
145.5.1.108,worlddatabaseofhappiness.eur.nl
62.204.65.6,defensie.nl
62.204.65.7,defensie.nl
62.204.65.5,defensie.nl
62.204.65.4,defensie.nl
195.128.8.210,bsl.nl
20.105.224.11,staatsbosbeheer.nl
93.119.0.246,geheugenvannederland.nl
217.26.125.210,minocw.nl
104.47.160.14,hanze.nl
136.144.175.27,marketingtribune.nl
213.207.70.224,s-hertogenbosch.nl
145.20.124.148,ou.nl
82.94.191.110,security.nl
132.229.26.33,cwts.nl
2.16.6.6,nn.nl
2.16.6.11,nn.nl
13.80.78.89,verkiezingsuitslagen.nl
5.79.110.40,zwiggelaarauctions.nl
206.189.242.140,refdag.nl
185.37.70.60,pdavis.nl
192.87.173.88,websdr.ewi.utwente.nl
18.65.39.54,weer.nl
18.65.39.45,weer.nl
18.65.39.84,weer.nl
18.65.39.103,weer.nl
185.232.250.241,nieuwarchief.nl
5.254.124.162,tracesofwar.nl
145.58.30.3,rtvdrenthe.nl
20.50.2.59,umcutrecht.nl
178.249.250.110,muziekweb.nl
62.221.213.212,zorgwijzer.nl
188.166.143.212,nationaalgeoregister.nl
212.115.192.168,people.zeelandnet.nl
195.169.26.109,nationaalarchief.nl
20.4.98.7,rtlboulevard.nl
178.62.251.165,duitslandinstituut.nl
89.149.192.26,repository.naturalis.nl
195.93.224.192,hetutrechtsarchief.nl
185.88.141.243,museumspeelklok.nl
212.54.40.5,members.ziggo.nl
146.50.97.212,staff.fnwi.uva.nl
178.22.56.235,bhic.nl
192.87.31.100,resolver.kb.nl
51.158.131.250,vandebron.nl
178.22.85.67,royal-house.nl
178.22.85.66,royal-house.nl
178.22.85.68,royal-house.nl
178.22.85.65,royal-house.nl
35.214.182.203,esciencecenter.nl
94.124.122.16,rockabilly.nl
87.233.203.196,rtvmaastricht.nl
87.233.177.4,onlineafspraken.nl
18.239.18.87,amnesty.nl
18.239.18.39,amnesty.nl
18.239.18.34,amnesty.nl
18.239.18.111,amnesty.nl
109.72.87.77,sportvisserijnederland.nl
2.16.6.17,bd.nl
2.16.6.8,bd.nl
152.89.6.135,mijn.voedingscentrum.nl
195.169.155.206,jive.nl
13.227.219.25,essent.nl
13.227.219.15,essent.nl
13.227.219.85,essent.nl
13.227.219.93,essent.nl
193.105.111.26,asr.nl
81.4.84.189,ebben.nl
93.92.103.89,ind.nl
194.150.209.110,kloosterkerk.nl
178.22.63.31,concertgebouw.nl
2.16.6.23,autoweek.nl
2.16.6.12,autoweek.nl
35.214.181.191,vrowl.nl
195.191.112.22,nswo.nl
46.182.223.55,tuecomotive.nl
46.17.10.171,wefact.nl
2.16.6.18,ohra.nl
2.16.6.26,ohra.nl
178.22.57.73,tinbergen.nl
185.38.232.231,zuid-holland.nl
45.153.84.71,thehyve.nl
185.173.20.179,jck.nl
178.22.85.169,scp.nl
178.22.85.168,scp.nl
178.22.85.167,scp.nl
178.22.85.166,scp.nl
178.22.57.127,krollermuller.nl
23.207.104.108,eventim.nl
52.178.79.163,corsozundert.nl
91.220.37.174,vlaggenkunde.nl
31.7.7.79,kitlv.nl
145.100.190.44,wiki.surfnet.nl
94.228.137.160,thuisarts.nl
37.252.123.244,kunstbus.nl
152.53.5.25,janswaal.home.xs4all.nl
20.50.2.17,hu.nl
37.200.85.24,rheden.nl
152.53.5.25,ednieuw.home.xs4all.nl
87.233.245.153,jaarbeurs.nl
145.107.8.140,surfdrive.surf.nl
145.107.56.140,surfdrive.surf.nl
145.100.27.67,surfdrive.surf.nl
40.74.38.97,fietsberaad.nl
20.8.3.98,menzis.nl
146.185.149.6,computertotaal.nl
130.89.12.12,itc.nl
18.238.243.61,ddw.nl
18.238.243.3,ddw.nl
18.238.243.53,ddw.nl
18.238.243.75,ddw.nl
192.87.79.51,tla.mpi.nl
5.61.249.160,ga-eagles.nl
95.179.148.198,skutsjesilen.nl
168.63.5.231,minbuza.nl
193.239.132.52,golf.nl
94.228.129.194,erim.eur.nl
213.108.104.104,concertzender.nl
87.233.148.242,partou.nl
195.93.224.197,regionaalarchiefalkmaar.nl
132.229.216.144,lorentz.leidenuniv.nl
142.251.36.14,images.google.nl
137.224.205.81,groenkennisnet.nl
20.47.118.78,funda.nl
31.134.203.159,onsoranje.nl
37.97.219.136,ggdreisvaccinaties.nl
46.19.223.81,uitgekookt.nl
2.18.244.200,bruna.nl
2.18.244.227,bruna.nl
62.221.215.43,codart.nl
185.38.232.200,brabant.nl
98.64.164.251,kempenhaeghe.nl
84.38.236.225,e-matching.nl
194.171.107.214,asser.nl
217.170.16.186,maartenonline.nl
195.72.120.106,hoorn.nl
87.233.203.232,stella.nl
89.41.169.198,digibron.nl
87.233.198.14,globaltalk.nl
37.97.133.112,floron.nl
89.104.167.10,streekstadcentraal.nl
212.127.175.7,sn2000.taxonomy.nl
178.22.57.92,cultuurfonds.nl
37.46.142.82,nibc.nl
62.221.209.190,uwzorgonline.nl
213.206.233.214,moedersvoormoeders.nl
85.10.137.192,verbeterdebuurt.nl
132.229.29.88,ascleiden.nl
37.97.133.112,eis-nederland.nl
185.104.29.148,drasticdata.nl
185.173.20.58,fnl.nl
94.228.136.126,lindenhaeghe.nl
87.233.198.7,ntvg.nl
95.211.140.121,stappen-shoppen.nl
164.92.221.26,orkest.nl
185.151.220.111,innovam.nl
137.56.209.196,arno.uvt.nl
52.174.235.29,fixi.nl
195.128.8.117,nursing.nl
37.97.132.118,omroepmeierij.nl
178.62.217.109,glutenvrijehoreca.nl
62.221.212.171,kingsoftware.nl
2.16.6.12,intwente.nl
2.16.6.19,intwente.nl
62.221.215.185,goodfish.nl
92.63.174.224,06-gps.nl
18.239.50.93,toosmart.nl
18.239.50.69,toosmart.nl
18.239.50.85,toosmart.nl
18.239.50.36,toosmart.nl
191.96.96.61,allunited.nl
185.206.161.192,sdbgroep.nl
45.82.189.112,jufjannie.nl
141.138.169.243,enschedefietsstad.nl
35.204.220.117,piggy.nl
195.169.88.174,dwc.knaw.nl
134.209.134.194,mijntuinapp.nl
185.173.21.120,uniforce.nl
93.119.1.122,nedsoft.nl
178.162.131.48,deafvalapp.nl
20.103.76.99,zooma.nl
94.228.136.75,evo-it.nl
31.14.99.89,avalex.nl
46.19.218.225,bendy.nl
77.222.85.205,edityourapp.nl
87.233.88.152,appstudio.nl
141.138.168.105,florianvanstrien.nl
213.156.0.5,powerpeers.nl
62.221.209.56,pharmeon.nl
185.15.251.93,uniwin.nl
77.94.248.190,scipio-app.nl
5.79.117.250,aura.nl
18.239.18.64,hoyapp.nl
18.239.18.87,hoyapp.nl
18.239.18.27,hoyapp.nl
18.239.18.72,hoyapp.nl
81.24.0.67,recappt.nl
35.214.186.170,myfinance.nl
136.144.253.114,loyaltygroup.nl
185.135.241.120,kovnet.nl
80.255.246.130,onlinepro.nl
194.171.144.224,biografischportaal.nl
136.144.245.80,kraanbouwcomputing.nl
167.71.77.32,mreinstein.nl
46.19.218.215,dation.nl
145.136.251.57,nationaalherbarium.nl
212.114.96.5,huisartsenregioapeldoorn.nl
93.94.228.211,snappic.nl
85.10.151.165,wozzol.nl
136.144.130.40,promobility.nl
149.210.182.34,foodticket.nl
209.250.250.253,hetomegaproject.nl
94.237.41.33,belmetsint.nl
145.219.10.129,actify.nl
84.38.237.162,cyclusnv.nl
20.105.232.47,atermes.nl
109.237.221.16,move2golf.nl
141.138.169.246,proles.nl
45.82.191.198,flitsboek.nl
20.105.232.4,iprox.nl
178.21.23.107,sjabbens.nl
141.138.169.230,nature2u.nl
81.24.0.67,linscriptum.nl
185.94.230.134,welkcijfermoetikhalen.nl
87.233.83.35,watisjouwrheden.nl
212.114.110.172,e-vontuur.nl
83.137.20.56,ledenadministratieonline.nl
185.104.29.124,thepride.nl
95.211.140.121,cityappalmelo.nl
62.84.245.203,trappersfanatic.nl
93.119.3.95,baytravel.nl
134.209.134.194,godspreekt.nl
92.63.174.60,asoft.nl
62.221.211.126,businessapps.nl
37.97.146.116,wijdoendingen.nl
87.239.9.25,inboekel.nl
45.82.191.120,birdring.nl
185.104.29.38,mijnsalon.nl
45.84.218.30,piazzasports.nl
37.97.188.242,enummers-app.nl
213.133.55.29,lisa-is.nl
185.37.71.52,casa-solutions.nl
185.104.29.64,kyllian.nl
185.173.20.107,mixedemotionslive.nl
91.198.171.154,ikbentessa.nl
141.138.169.246,kinderopvangsoftware.nl
85.10.150.109,go-skate.nl
62.221.211.126,concapps.nl
149.210.212.118,vaarkaartnederland.nl
136.144.128.25,maress.nl
93.119.12.27,zeeweer.nl
77.94.248.203,soundware.nl
46.235.40.110,app.radioned.nl
185.220.172.9,miamicarwash.nl
94.228.137.200,plusjames.nl
185.138.80.195,logifit.nl
37.34.56.78,happynurse.nl
93.94.228.17,gereedschapbeheer.nl
185.104.29.20,partypay.nl
165.232.82.124,app.bee-able.nl
93.119.3.234,vgmnet.nl
141.138.168.118,bookbucket.intodevelopment.nl
185.104.29.120,parkstad.energieknip.nl
31.25.98.55,privacy.businessapps.nl
185.159.242.72,privacy.businessapps.nl
52.174.181.178,jgzapp.nl
46.235.42.70,kanjerkettingapp.nl
5.254.117.39,kersenfeest.nl
40.118.101.67,cdn.medicinfo.nl
93.94.228.211,snappicapp.nl
185.104.29.30,mitchellvermaning.nl
185.58.56.161,verhuisadviesapp.nl
141.138.168.124,magiwise.nl
83.137.17.180,storywalk.nl
46.22.181.4,vorige.nrc.nl
213.108.104.110,gcgc.nl
145.88.218.198,patientcoach.lumc.nl
78.141.220.10,weerseloapp.nl
145.131.16.39,tennisschoolbuitenveldert.nl
45.82.189.112,jufjannieapps.nl
2.16.6.25,oxxio.nl
2.16.6.12,oxxio.nl
5.61.253.122,skutsjeapp.nl
46.23.84.172,kachelfm.nl
185.104.29.158,viervoet.nl
188.166.40.137,oefenen.roessingh.nl
136.144.213.162,enjoyamsterdam.nl
80.85.129.156,quick2order.nl
206.189.242.140,rd.nl
185.104.29.102,appsforthepeople.nl
89.149.192.26,ir.cwi.nl
37.48.108.47,nvpi.nl
145.58.30.3,uitzendinggemist.nl
130.89.6.30,fmt.ewi.utwente.nl
13.80.147.7,iza.nl
37.48.75.87,tvblik.nl
145.18.150.58,scripties.uba.uva.nl
20.224.198.29,wi.knaw.nl
172.217.168.225,electrospaces.blogspot.nl
108.141.5.154,ser.nl
2.16.6.31,intermediair.nl
2.16.6.4,intermediair.nl
5.39.168.234,vvaa.nl
193.105.111.39,asrnederland.nl
185.40.59.149,top40.nl
136.244.111.210,basisbijbel.nl
136.144.185.174,dopingautoriteit.nl
145.58.30.3,funx.nl
185.121.92.184,nieuwnieuws.nl
35.214.198.172,reshift.nl
31.134.203.159,voetbal.nl
40.68.19.4,rkkerk.nl
98.64.189.28,onecalendar.nl
212.127.175.7,taxonomicon.taxonomy.nl
145.58.30.3,eo.nl
2.16.6.8,myprivacy.dpgmedia.nl
2.16.6.33,myprivacy.dpgmedia.nl
2.16.6.7,libelle.nl
2.16.6.35,libelle.nl
77.74.54.12,rtveen.nl
86.94.67.164,vocsite.nl
141.138.169.221,earcatch.nl
185.37.71.71,books2download.nl
83.98.140.23,joodsmonument.nl
45.131.60.103,joyradio.nl
18.239.50.92,juke.nl
18.239.50.80,juke.nl
18.239.50.66,juke.nl
18.239.50.77,juke.nl
104.40.201.183,viabovag.nl
192.87.212.23,sron.nl
94.228.136.190,keukenhof.nl
185.206.235.23,petities.nl
213.206.248.211,sportknowhowxl.nl
192.16.189.29,amolf.nl
185.104.29.146,petitie24.nl
5.200.2.36,recht.nl
31.43.160.6,flitsmeister.nl
31.43.161.6,flitsmeister.nl
217.21.199.132,teamfm.nl
136.144.172.200,okokorecepten.nl
132.229.137.15,liacs.leidenuniv.nl
92.109.139.115,aprs.gids.nl
82.172.139.26,drphone.nl
185.87.251.201,scramble.nl
2.16.6.8,westlandutrechtbank.nl
2.16.6.32,westlandutrechtbank.nl
146.19.224.109,tolkcontact.nl
185.84.143.68,avisynth.nl
136.144.188.17,storytellingpeople.nl
217.148.84.210,ficsbook.nl
185.53.163.230,molecaten.nl
136.144.160.47,sublime.nl
194.109.192.132,oypo.nl
91.216.34.230,vanstockum.nl
178.19.119.20,zo34.nl
185.22.13.218,voetbalnederland.nl
145.5.1.13,iss.nl
185.40.56.167,stoptober.nl
40.118.102.46,stopheling.nl
45.85.191.206,hollandspalet.nl
62.204.66.10,en.internet.nl
132.229.188.226,etymologiebank.nl
52.137.27.62,kluwer.nl
178.22.62.96,flavour.nl
87.233.179.146,nbbu.nl
149.210.248.240,eigenkracht.nl
195.241.77.82,home.tiscali.nl
35.214.129.178,vr-expert.nl
88.218.153.42,fctwente.nl
94.142.209.122,vitesse.nl
46.235.42.212,android-design.nl
85.10.142.20,staz.nl
85.10.159.134,kidskonnect.nl
34.141.152.170,umcg.nl
131.174.161.23,swift.cmbi.umcn.nl
141.138.169.249,plantaardigheden.nl
185.104.29.116,koenvh.nl
13.94.192.98,vangstenregistratie.nl
141.105.126.94,subcatch.nl
45.63.42.186,studio191.nl
91.208.60.192,oogtv.nl
192.81.223.62,custom.eventix.nl
178.22.57.73,papers.tinbergen.nl
89.41.171.219,bilderberg.nl
159.8.202.163,uscleiden.nl
84.247.9.22,medicoo.nl
18.238.243.33,karwei.nl
18.238.243.123,karwei.nl
18.238.243.4,karwei.nl
18.238.243.92,karwei.nl
93.119.5.182,publistat.nl
95.215.188.54,tremani.nl
172.233.56.140,livcamp.nl
193.27.86.41,50plusmatch.nl
37.203.223.212,go.ziggosporttotaal.nl
93.186.186.6,cash.nl
31.134.207.110,fietsroutenetwerk.nl
185.220.175.41,padelnext.nl
108.143.219.196,asperion.nl
89.31.98.42,landvancuijk.nl
46.226.60.138,buitenbeter.nl
136.144.201.133,eredivisie.nl
185.138.83.94,treinonderweg.nl
84.22.114.145,piratenpartij.nl
40.68.152.206,visspecialisten.nl
5.39.168.235,htmc.nl
37.97.162.207,probiblio.nl
87.233.174.17,terspegelt.nl
83.98.201.42,infosyncratic.nl
141.138.169.223,stichtingverborgenstad.nl
45.82.188.236,welzijnlelystad.nl
37.97.229.97,deanderekrant.nl
195.169.88.33,historici.nl
20.23.2.223,bibliotheekeindhoven.nl
213.249.67.29,energyzero.nl
62.204.66.10,internet.nl
45.82.188.43,optimizers.nl
167.99.217.95,tropenmuseum.nl
213.249.67.10,dorpsradio.nl
91.190.98.194,verhildersum.nl
185.232.250.15,shuttel.nl
147.181.36.14,puc.overheid.nl
213.108.104.110,vitaliserendcommuniceren.nl
35.214.207.103,toomba.nl
195.211.73.22,connect4shore.nl
94.228.136.126,hoffelijk.nl
62.129.149.24,buurbook.nl
65.9.86.119,2-monkeys.nl
65.9.86.59,2-monkeys.nl
65.9.86.29,2-monkeys.nl
65.9.86.7,2-monkeys.nl
37.97.169.248,rentpro.nl
217.114.105.93,atagverwarming.nl
37.252.122.154,taxitcn.nl
20.4.132.152,autogarantie.nl
94.237.111.244,vintageroadtrips.nl
185.104.29.130,bouwportaal.nl
141.138.137.134,ikfiets.nl
91.233.52.4,ziber.nl
185.89.5.121,pwzn.nl
51.138.55.51,corendon.nl
45.82.191.80,evr.nl
178.19.119.11,goudenpiratenhits.nl
213.193.247.32,mastendol.nl
37.48.120.78,kis-haircare.nl
185.159.242.72,hetmarnix.nl
31.25.98.55,hetmarnix.nl
217.148.84.209,ficsus.nl
94.126.70.11,paxx.nl
94.124.122.10,pauldavids.nl
51.15.52.42,industrialit.nl
85.10.142.20,arbeidsmarktgehandicaptenzorg.nl
85.10.159.101,finder-online.nl
78.141.217.137,rapasso.nl
64.225.78.43,zouikwatzeggen.nl
